Drug,geneName,log2FoldChange,padj no NA,pvalue
Enzalutamide,DDX11L1,0.059116185,1,0.917911356
Enzalutamide,WASH7P,0.12161114,1,0.441078242
Enzalutamide,MIR6859-1,0.311926683,1,0.698622359
Enzalutamide,MIR1302-2HG,-0.208880334,1,0.543505055
Enzalutamide,FAM138A,2.844843091,1,0.169073098
Enzalutamide,AL627309.1,0.497144465,1,0.407990635
Enzalutamide,CICP27,0.818474474,1,0.189713115
Enzalutamide,AL627309.6,0.358528867,1,0.193682171
Enzalutamide,AL627309.7,0.609848324,1,0.224428494
Enzalutamide,AL627309.2,0.39232498,1,0.672677652
Enzalutamide,AL627309.5,0.360015611,1,0.196996443
Enzalutamide,FO538757.2,1.175672123,1,0.087736476
Enzalutamide,FO538757.1,0.091929928,1,0.448820389
Enzalutamide,MIR6859-2,-0.007607267,1,0.993305709
Enzalutamide,AP006222.1,0.298887513,1,0.108599677
Enzalutamide,RPL23AP24,-0.379407999,1,0.555712272
Enzalutamide,AL732372.1,0.999818753,1,0.464553231
Enzalutamide,AL732372.2,0.320778171,1,0.328096895
Enzalutamide,CICP7,0.303777618,1,0.695670049
Enzalutamide,AL732372.3,0.091461661,1,0.70673443
Enzalutamide,AL669831.3,0.175687618,1,0.587399627
Enzalutamide,AC114498.1,0.968932157,1,0.754504153
Enzalutamide,MTND1P23,0.261227202,1,0.48304955
Enzalutamide,MTND2P28,-0.017397022,1,0.966978262
Enzalutamide,MTCO1P12,0.007281817,1,0.985218292
Enzalutamide,MTCO2P12,0.09494497,1,0.82571574
Enzalutamide,MTATP8P1,-0.527022273,1,0.404598833
Enzalutamide,MTATP6P1,0.011183805,1,0.978045127
Enzalutamide,MTCO3P12,0.030434988,1,0.943430695
Enzalutamide,CICP3,0.682806631,1,0.373977355
Enzalutamide,AL669831.1,0.197144376,1,0.386257679
Enzalutamide,AL669831.5,0.518411711,1,0.343407368
Enzalutamide,AL669831.4,0.989636537,1,0.047457272
Enzalutamide,FAM87B,0.927799338,0.352802459,0.002614261
Enzalutamide,LINC01128,0.334795767,0.082883739,0.000399827
Enzalutamide,LINC00115,0.082540869,1,0.728984899
Enzalutamide,FAM41C,-0.747971807,1,0.372271006
Enzalutamide,TUBB8P11,-0.954646314,1,0.836899758
Enzalutamide,AL645608.6,0.311795285,1,0.240253341
Enzalutamide,AL645608.2,0.060004764,1,0.691714243
Enzalutamide,AL645608.4,-0.00109346,1,0.999114228
Enzalutamide,LINC02593,0.017964368,1,0.9094221
Enzalutamide,SAMD11,-0.053120122,1,0.838016443
Enzalutamide,NOC2L,-0.063968171,1,0.852554045
Enzalutamide,KLHL17,-0.21111285,1,0.227138793
Enzalutamide,PLEKHN1,-0.01540468,1,0.953745909
Enzalutamide,PERM1,-0.086759017,1,0.768868198
Enzalutamide,AL645608.7,-0.135175783,1,0.781814006
Enzalutamide,HES4,-0.096219587,1,0.806900471
Enzalutamide,ISG15,-0.042570999,1,0.90447049
Enzalutamide,AL645608.3,0.968921696,1,0.862274082
Enzalutamide,AL645608.1,0.395967041,1,0.442040568
Enzalutamide,AGRN,0.02024157,1,0.955111536
Enzalutamide,AL390719.1,0.115197989,1,0.592987985
Enzalutamide,AL645608.8,1.406476968,1,0.256436083
